formatted_work_date,cts_urn,author,title
-0370-01/-0285-12,tlg0093.tlg005,Theophrastus,De igne_On Fire
-0370-01/-0285-12,tlg0093.tlg006,Theophrastus,Metaphysica_Metaphysics
-0370-01/-0285-12,tlg0093.tlg010x01,Theophrastus,De Odoribus
-0370-01/-0285-12,tlg0093.tlg010x02,Theophrastus,De Ventis
-0370-01/-0285-12,tlg0093.tlg010x03,Theophrastus,De Signis Tempestatum
-0370-01/-0285-12,tlg0093.tlg010x04,Theophrastus,De Lassitudine
-0370-01/-0285-12,tlg0093.tlg010x05,Theophrastus,De Vertigine
-0370-01/-0285-12,tlg0093.tlg010x06,Theophrastus,De Sudore
-0370-01/-0285-12,tlg0093.tlg010x07,Theophrastus,De Animi Defectione
-0370-01/-0285-12,tlg0093.tlg010x08,Theophrastus,De Nervorum Resolutione
-0370-01/-0285-12,tlg0093.tlg010x09,Theophrastus,Fragmenta varia
-0369-01/-0321-12,tlg0088.tlg001,Aristoxenus,Ἁρμονικὰ στοιχεῖα
-0366-01/-0321-12,tlg0086.tlg004,Aristotle,De audibilibus
-0366-01/-0321-12,tlg0086.tlg019,Aristotle,De lineis insecabilibus
-0366-01/-0321-12,tlg0086.tlg046,Aristotle,De ventorum situ et nominibus
-0355-01/-0335-12,tlg0048.tlg001,"Philip II, King of Macedonia",Epistulae
-0349-01/-0300-12,tlg1486.tlg001,Matron of Pitana,Convivium Atticum
-0349-01/-0300-12,tlg1486.tlg002,Matron of Pitana,Fragmenta
-0349-01/-0349-12,tlg0639.tlg001,Menecrates Medicus,Epistula
-0341-01/-0289-12,tlg0541.tlg042,Menander,Sententiae (corresponds to version Men Ar I) (Greek)
-0322-01/-0030-12,tlg4170.tlg001a,Vitae Pindari et varia de Pindaro,Vita Ambrosiana
-0322-01/-0030-12,tlg4170.tlg001b,Vitae Pindari et varia de Pindaro,Vita Thomana et hypothesis Olympiorum
-0322-01/-0030-12,tlg4170.tlg001c,Vitae Pindari et varia de Pindaro,Vita metrica
-0322-01/-0030-12,tlg4170.tlg001d,Vitae Pindari et varia de Pindaro,Pentathlon et de novem lyricis
-0322-01/-0030-12,tlg5034.tlg001a,Scholia in Pindarum,Scholia in Pindarum Olympian Odes
-0322-01/-0030-12,tlg5034.tlg001b,Scholia in Pindarum,Scholia in Pindarum Pythian Odes
-0322-01/-0030-12,tlg5034.tlg001c,Scholia in Pindarum,Scholia in Pindarum Nemean Odes
-0322-01/-0030-12,tlg5034.tlg001d,Scholia in Pindarum,Scholia in Pindarum Isthmian Odes
-0319-01/-0314-12,tlg1390.tlg004,Hecataeus of Abderita,Fragmenta
-0310-01/-0270-12,tlg0537.tlg010,Epicurus,Epistula ad Herodotum
-0310-01/-0270-12,tlg0537.tlg011,Epicurus,Epistula ad Pythoclem
-0310-01/-0270-12,tlg0537.tlg012,Epicurus,Epistula ad Menoeceum
-0310-01/-0270-12,tlg0537.tlg013,Epicurus,Ratae Sententiae
-0310-01/-0270-12,tlg0537.tlg014,Epicurus,Gnomologium Vaticanum Epicureum
-0299-01/-0099-12,pta9999.pta034,Bible,Ecclesiastes
-0299-01/-0200-12,tlg0022.tlg001,Nicander of Colophon,Theriaca
-0299-01/-0200-12,tlg0066.tlg001,"Heraclides, Criticus",Descriptio Graeciae
-0299-01/-0200-12,tlg1193.tlg001,Ariston of Chios,Testimonia et Fragmenta
-0299-01/-0200-12,tlg1669.tlg004,Serapion Astrologus,Fragmenta
-0299-01/-0249-12,tlg0533.tlg007,Callimachus,Iambi
-0299-01/-0249-12,tlg0533.tlg009,Callimachus,Hecala
-0299-01/-0259-12,tlg0005.tlg003,Theocritus,Syrinx
-0299-01/-0264-12,tlg1799.tlg007,Euclid,Data
-0299-01/-0264-12,tlg1799.tlg009,Euclid,Optica
-0299-01/-0264-12,tlg1799.tlg016,Euclid,Fragmenta
-0286-01/-0231-12,tlg0552.tlg008,Archimedes,De corporibus fluitantibus
-0279-01/-0205-12,tlg1264.tlg001,Chrysippus,Fragmenta Logica et Physica
-0279-01/-0205-12,tlg1264.tlg002,Chrysippus,Fragmenta Moralia
-0279-01/-0205-12,tlg1264.tlg003,Chrysippus,Fragmenta quae ad explicationem carminum Homericorum pertinent
-0279-01/-0205-12,tlg1264.tlg004,Chrysippus,Fragmenta ad singulos libros relata
-0274-01/-0249-12,stoa0033a.tlg043,Pseudo-Aristotle,De spiritu
-0261-01/-0260-12,tlg1269.tlg002,Cleanthes,Testimonia et Fragmenta
-0256-01/-0179-12,tlg0644.tlg001,Aristophanes of Byzantium,Historiae Animalium Epitome
-0249-01/-0049-12,stoa0033a.tlg028,Pseudo-Aristotle,De mundo
-0241-01/-0241-12,tlg1699.tlg003,Teles Megarenesis,Περὶ φυγῆς
-0240-01/-0137-12,tlg5031.tlg001,Scholia in Nicandrum,Scholia et glossae in Nicandri theriaca (scholia vetera et recentiora)
-0240-01/-0137-12,tlg5031.tlg002,Scholia in Nicandrum,Scholia et glossae in Nicandri alexipharmaca (scholia vetera et recentiora)
-0239-01/-0189-12,tlg0550.tlg001,Apollonius of Perga,Conica
-0234-01/-0234-12,tlg1699.tlg001,Teles Megarenesis,Περὶ τοῦ δοκεῖν καὶ τοῦ εἶναι
-0234-01/-0234-12,tlg1699.tlg002,Teles Megarenesis,Περὶ αὐταρκείας
-0234-01/-0234-12,tlg1699.tlg004,Teles Megarenesis,Περὶ συγκρίσεως πενίας καὶ πλούτου
-0234-01/-0234-12,tlg1699.tlg005,Teles Megarenesis,Περὶ συγκρίσεως πενίας καὶ πλούτου
-0234-01/-0234-12,tlg1699.tlg006,Teles Megarenesis,Περὶ τοῦ μὴ εἶναι τέλος ἡδονήν
-0234-01/-0234-12,tlg1699.tlg007,Teles Megarenesis,Περὶ περιστάσεων
-0234-01/-0234-12,tlg1699.tlg008,Teles Megarenesis,Περὶ ἀπαθείας
-0224-01/-0174-12,tlg0022.tlg002,Nicander of Colophon,Alexipharmaca
-0199-01/-0001-12,tlg1719.tlg001,Theodosius of Bithynia,Sphaerica
-0199-01/-0100-12,tlg0527.tlg008,Bible,Judices
-0199-01/-0100-12,tlg4091.tlg001,Callistratus,Descriptiones
-0199-01/-0149-12,tlg1320.tlg001,Diogenes Babylonius,Testimonia et Fragmenta
-0169-01/-0169-12,tlg1463.tlg001,Liber Enoch,Apocalypsis Enochi
-0149-01/+0100-12,tlg5026.tlg001,Scholia in Homerum,Scholia in Iliadem
-0149-01/+0100-12,tlg5026.tlg007,Scholia in Homerum,Scholia in Odysseam
-0149-01/-0100-12,tlg1129.tlg001,Anonymi de Barbarismo et Soloecismo,De barbarismo et soloecismo
-0139-01/-0128-12,tlg1146.tlg001,Antipater Tarsensis,Testimonia et Fragmenta
-0126-01/-0126-12,tlg0362.tlg001,Carmina Delphis Inventa,Carmina Delphis Inventa
-0099-01/+0000-12,tlg0657.tlg001,Crateuas,Fragmenta
-0099-01/+0001-12,tlg0623.tlg001,Cratetis Epistulae,Epistulae
-0099-01/+0001-12,tlg1602.tlg001,Philoxenus of Alexandria,Fragmenta
-0099-01/+0100-12,tlg4037.tlg001,Anonymi Paradoxographi,De Incredibilibus (excerpta Vaticana)
-0099-01/-0049-12,tlg0615.tlg001,Aspasius,In Ethica Nichomachea Commentaria
-0099-01/-0074-12,tlg0037.tlg001,Anacharsis,Epistulae
-0087-01/-0077-12,tlg0069.tlg001,"Dionysius, Calliphontis",Descriptio Graeciae
-0074-01/-0034-12,tlg1595.tlg221,Philodemus,De Musica Librorum Quae Exstant
-0074-01/-0034-12,tlg1595.tlg370,Philodemus,Volumina Rhetorica
-0049-01/+0000-12,tlg0609.tlg001,Tryphon I Grammaticus,De tropis
-0049-01/+0001-12,tlg5023.tlg001,Scholia in Euripidem,Scholia in Euripidem (scholia vetera)
-0049-01/+0001-12,tlg5023.tlg010,Scholia in Euripidem,Vitae Euripidis
-0049-01/+0001-12,tlg5023.tlg011,Scholia in Euripidem,Scholia in Euripidis Rhesum
-0049-01/+0001-12,tlg5023.tlg012,Scholia in Euripidem,Scholia in Euripidis Troiades
